"Показник","Територіальний розріз","Категорія Розрізу","Розріз","Географічна ознака","Вид економічної діяльності","Кількість зайнятих працівників","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Київ","За типами інноваційного співробітництва","Клієнти або замовники з державного сектору","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","36","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","17","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Добувна промисловість і розроблення кар'єрів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","15","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Чернівецька","За місцем розташування партнерів","В інших країнах","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","2","","3","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Севастополь","За типами інноваційного співробітництва","Підприємства, що входять до групи підприємств","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Інформація відсутня.","","","","","","","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Добувна промисловість і розроблення кар'єрів","Кількість зайнятих працівників від 50 до 249 осіб","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","8","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Допоміжна діяльність у сферах фінансових послуг і страхування","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","1","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Київ","За типами інноваційного співробітництва","Некомерційні організації","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","49","","22","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Севастополь","За типами інноваційного співробітництва","Клієнти або замовники з державного сектору","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Інформація відсутня.","","","","","","","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Добувна промисловість і розроблення кар'єрів","Кількість зайнятих працівників від 10 до 49 осіб","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2020-2022).","","","","","","","","3","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Діяльність у сфері радіомовлення та телевізійного мовлення","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","7","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Добувна промисловість і розроблення кар'єрів","Кількість зайнятих працівників 250 осіб і більше","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","7","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Кількість зайнятих працівників 250 осіб і більше","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2020-2022).","","","","","","15","","11","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Виробництво гумових і пластмасових виробів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","33","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Поліграфічна діяльність, тиражування записаної інформації","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","1","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Київ","За місцем розташування партнерів","В країнах ЄС та ЄАВТ","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","94","","70","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Поштова та кур'єрська діяльність","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","1","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Чернігівська","За типами інноваційного співробітництва","Некомерційні організації","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","3","","","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Добування сирої нафти та природного газу","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","3","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","3","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Київ","За місцем розташування партнерів","В Україні","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","374","","296","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Водний транспорт","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","1","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Виробництво машин і устатковання, н.в.і.у.","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","58","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Виробництво готових металевих виробів, крім машин і устатковання","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","36","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Виробництво меблів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","23","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Виробництво тютюнових виробів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Промисловість","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2020-2022).","","","","","","633","","106","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку","Кількість зайнятих працівників від 50 до 249 осіб","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2020-2022).","","","","","","","","63","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Севастополь","За типами інноваційного співробітництва","Університети або заклади вищої освіти","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Інформація відсутня.","","","","","","","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Чернівецька","За місцем розташування партнерів","В країнах ЄС та ЄАВТ","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","1","","3","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Чернігівська","Усього","Усього","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","20","","28","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Надання інформаційних послуг","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","12","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2020-2022).","","","","","","","","13","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва","Севастополь","За типами інноваційного співробітництва","Постачальники обладнання, матеріалів, програмного забезпечення тощо","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Інформація відсутня.","","","","","","","","","","",""
"Кількість інноваційно активних підприємств, залучених до інноваційного співробітництва щодо інноваційної діяльності","Україна","Усього","Усього","Не застосовується","Виробництво шкіри, виробів зі шкіри та інших матеріалів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","4","","","","",""
